Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
B3TNG1	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNF2	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNF3	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
B3TNF4	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3) (Fragment)	ATP:guanido phosphotransferase family	None	None	None	None	None	PF00217;	None	SSF55931;	None	None	None	None	None	None
A6M9J4	Arthropoda	Eukaryota	Insecta	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.951;L-Arg_count=3;1.27;ATP_count=4;1.29;ATP_count=5;0.94;L-arginine_count=6;0.95;L-arginine_count=7;0.951;L-arginine_count=8	8_count=1;8.6_count=2	30_count=1	None	159.4;ATP_count=1;159.4;L-Arg_count=2;163.0;ATP_count=3;163.0;L-Arg_count=4;159.4;L-arginine_count=11;163.0;L-arginine_count=12;8.8;L-Arg_count=19	45-65_count=1
A4F2K7	Arthropoda	Eukaryota	Insecta	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.95;ATP_count=1;1.01;L-Arg_count=2	None	None	None	2.02;L-Arg_count=1	None
A7YVI5	Nematoda (roundworms)	Eukaryota	Chromadorea	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.3;ATP_count=1;0.12;L-Arg_count=2	None	None	None	29.18;ATP_count=1;29.18;L-Arg_count=2;81.0;L-Arg_count=3	None
Q9NKV4	Mollusca	Eukaryota	Cephalopoda (cephalopods)	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	None	None	None	None	None	None
Q9NKV5	Mollusca	Eukaryota	Cephalopoda (cephalopods)	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.68;L-Arg_count=2;2.82;L-Arg_count=4	None	None	None	None	None
Q9NKV6	Mollusca	Eukaryota	Cephalopoda (cephalopods)	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;	0.68;L-Arg_count=3	None	None	None	None	None
